full_name,biography,followers,following,date,time,weekday,is_private,is_business_account,is_verified,logging_page_id,id,has_channel,has_blocked_viewer,joined_recently,external_url,external_url_linkshimmed,connected_fb_page,edge_felix_video_timeline,edge_owner_to_timeline_media,edge_saved_media,edge_media_collections,viewerId,csrf_token,device_id,platform,rollout_hash,nonce
b'Rahul Meena',b'',240,209,27/08/2020,15:35:24,Thursday,False,False,False,profilePage_28501659108,28501659108,False,False,False,None,None,None,0,0,0,0,,IDkczg1ialyXheeS4vbUd3QbFqhaJgdJ,6AFB8DFB-E76E-4BD9-9F30-9FBA74A046D6,windows_nt_10,901e37113a69,2vZbERWe/cQ3C/oCMuhUOg==
b'Rahul Meena',b'',241,209,31/08/2020,16:39:37,Monday,False,False,False,profilePage_28501659108,28501659108,False,False,False,None,None,None,0,0,0,0,,SFGXAyel1xSHCKILLsqauTtfGQxqiRyK,6092F017-E748-4284-89CA-D0117F592214,windows_nt_10,0c15f4d7d44a,OG4rpykVbeH2AmKdoOme6w==
b'Rahul Meena',b'',240,209,31/08/2020,16:52:44,Monday,False,False,False,profilePage_28501659108,28501659108,False,False,False,None,None,None,0,0,0,0,,SFGXAyel1xSHCKILLsqauTtfGQxqiRyK,6092F017-E748-4284-89CA-D0117F592214,windows_nt_10,0c15f4d7d44a,U3sDdhBViJkMIsqL/m0o8A==
b'Rahul Meena',b'',239,209,31/08/2020,22:03:25,Monday,False,False,False,profilePage_28501659108,28501659108,False,False,False,None,None,None,0,0,0,0,,OcYoFNTx0UgEHrytbRkCWgKNrhLdbHT8,B0421B27-37DF-492E-B685-D0EC75CBAF38,windows_nt_10,0c15f4d7d44a,kCc2kY4f7EFJoioJ/VBocw==
b'Rahul Meena',b'',238,209,04/09/2020,10:35:34,Friday,False,False,False,profilePage_28501659108,28501659108,False,False,False,None,None,None,0,0,0,0,,S1KlQ3xiINFswpED2X8U9dhhadmKDHdb,BB169B9D-9804-427B-B5F0-A09F88227434,windows_nt_10,4a411e2f454d-hot,qcwjxsrK+20/0tcNb3f9nw==
b'Rahul Meena',b'',239,208,05/09/2020,12:55:02,Saturday,False,False,False,profilePage_28501659108,28501659108,False,False,False,None,None,None,0,0,0,0,,JwsotwgqDjtkphxCjQmqqnvQQaBlgRqi,24162802-2C7C-45EE-B009-061D47268001,web,921281b24b6a,IYdOrn24dtlPyObZ8S98gg==
b'Rahul Meena',b'',238,208,06/09/2020,07:36:19,Sunday,False,False,False,profilePage_28501659108,28501659108,False,False,False,None,None,None,0,0,0,0,,pyd3a6RD3dANLRl8cTB2YAIB71TeVN2y,71104161-CFEC-4526-9FF1-D5CC9CE600D7,windows_nt_10,921281b24b6a,Qy+Eu7QE7m2lGsefuPO6Bg==
b'Rahul Meena',b'',238,207,07/09/2020,08:38:03,Monday,False,False,False,profilePage_28501659108,28501659108,False,False,False,None,None,None,0,0,0,0,,GwARFVuOjMqQlDtdjav72w6IsNTom7Yx,94E08A63-D692-47AC-A083-8E775D6D0C1B,windows_nt_10,921281b24b6a,ZZKMzB0RoB3p7UKG/Lvl/Q==
b'Rahul Meena',b'',237,207,08/09/2020,20:51:46,Tuesday,False,False,False,profilePage_28501659108,28501659108,False,False,False,None,None,None,0,0,0,0,,zmGMJRcZGoqP3GGoQbXsPpe3zuRS2ESq,DE15CCCC-C9F0-4F0C-8504-79FF5A584889,web,e306f47b87f3,tFYRuiigZ+GlTJcYCTALcQ==
b'Rahul Meena',b'',238,207,10/09/2020,05:36:14,Thursday,False,False,False,profilePage_28501659108,28501659108,False,False,False,None,None,None,0,0,0,0,,r0Ln9UQMa8xdCfVs5FsPA7Y4rO5JyRZz,D34AC87E-9826-4E0F-A0AE-C56C538896F7,web,6a0daaa6378f,Dz6mzht84A4oykIOiihtEA==